variant,seed,arm,use_case,auc,wss95,f2_star,floor_f2
supplied,1,catboost,van_der_valk_2021,0.8816258002619878,0.5359154929577464,0.6608695652173913,0.41115311909262764
supplied,1,logreg,van_der_valk_2021,0.8273924835335141,0.3049295774647887,0.5909090909090909,0.41115311909262764
supplied,1,blend,van_der_valk_2021,0.8800206638253906,0.5119718309859155,0.64891846921797,0.41115311909262764
supplied,1,catboost,van_dis_2020,0.9326203703703704,0.6817293950921165,0.3869653279066196,0.03902016041621504
supplied,1,logreg,van_dis_2020,0.9353888888888889,0.6003899455508321,0.39181162084244336,0.03902016041621504
supplied,1,blend,van_dis_2020,0.9438935185185185,0.701568285224137,0.4361944457907236,0.03902016041621504
supplied,2,catboost,brouwer_2019,0.9931612903225806,0.9284556562658752,0.4615082859966848,0.008233950436930596
supplied,2,logreg,brouwer_2019,0.9964408602150537,0.93644239458838,0.5843931458306514,0.008233950436930596
supplied,2,blend,brouwer_2019,0.995752688172043,0.9377735176421308,0.59998145511866,0.008233950436930596
supplied,2,catboost,leenaars_2020,0.9382662037037036,0.6574742959320542,0.6917887443204144,0.31946755407653904
supplied,2,logreg,leenaars_2020,0.9309016203703704,0.6312680673521105,0.672949441265432,0.31946755407653904
supplied,2,blend,leenaars_2020,0.943699074074074,0.6647876620473869,0.7017492880804324,0.31946755407653904
supplied,2,catboost,moran_2021,0.8548528528528528,0.24059526581294965,0.4155064075461795,0.09914255091103961
supplied,2,logreg,moran_2021,0.6240900900900901,0.050447225455949915,0.15263343554120423,0.09914255091103961
supplied,2,blend,moran_2021,0.83993993993994,0.2223306169964961,0.3398406191631269,0.09914255091103961
supplied,2,catboost,muthu_2021,0.8306117764471058,0.3237476739858725,0.5854275064316831,0.41511309967685805
supplied,2,logreg,muthu_2021,0.8077894211576845,0.2840493735268676,0.5595704804236789,0.41511309967685805
supplied,2,blend,muthu_2021,0.8416317365269461,0.30973650911799133,0.5999952676429595,0.41511309967685805
supplied,2,catboost,nelson_2002,0.8695593525179856,0.40530726256983235,0.7563025210084034,0.5899705014749262
supplied,2,logreg,nelson_2002,0.8680980215827337,0.39134078212290496,0.7352941176470589,0.5899705014749262
supplied,2,blend,nelson_2002,0.8884892086330936,0.45558659217877095,0.7731958762886596,0.5899705014749262
supplied,2,catboost,sep_2021,0.7427173913043478,0.06481481481481477,0.5813953488372093,0.46511627906976744
supplied,2,logreg,sep_2021,0.8060869565217391,0.16111111111111107,0.6297709923664122,0.46511627906976744
supplied,2,blend,sep_2021,0.7696739130434783,0.057407407407407365,0.5755395683453237,0.46511627906976744
supplied,2,catboost,van_der_valk_2021,0.8683972620431357,0.482394366197183,0.6260434056761269,0.41115311909262764
supplied,2,logreg,van_der_valk_2021,0.8108337484548255,0.3753521126760563,0.5653710247349824,0.41115311909262764
supplied,2,blend,van_der_valk_2021,0.8623088134905261,0.482394366197183,0.6219709208400646,0.41115311909262764
supplied,2,catboost,van_dis_2020,0.9419722222222222,0.7597623629447307,0.34332942145871315,0.03902016041621504
supplied,2,logreg,van_dis_2020,0.9319074074074074,0.5739380920414714,0.35738511820337604,0.03902016041621504
supplied,2,blend,van_dis_2020,0.9489444444444445,0.7584397702692626,0.4010413002181102,0.03902016041621504
