variant,use_case,n_labels,recall_at_10pct,recall_at_20pct,wss_at_95,roc_auc,wss_ceiling
lexical only (Tier 1b),tech_forecasting,25,0.11378984914379354,0.22762972841200796,0.011366806136680568,0.5659309188904301,0.3842398884239888
lexical only (Tier 1b),tech_forecasting,50,0.12342699879265144,0.2347604864766414,0.02570093457943921,0.5951526325406692,0.38118380062305296
lexical only (Tier 1b),tech_forecasting,100,0.12244953603880596,0.2442485768077393,0.03211382113821134,0.6113834142618948,0.38849593495934953
lexical only (Tier 1b),tech_forecasting,200,0.12471929709584385,0.2586620888494069,0.031249999999999955,0.6353423206917477,0.3859375
jasper: cosine-to-brief (0 labels),carbon_capture,25,0.17006802721088435,0.3129251700680272,0.12508417508417505,0.7509750566893424,0.4797979797979797
jasper: cosine-to-brief (0 labels),carbon_capture,50,0.17006802721088435,0.3129251700680272,0.12508417508417505,0.7509750566893424,0.4797979797979797
jasper: cosine-to-brief (0 labels),carbon_capture,100,0.17006802721088435,0.3129251700680272,0.12508417508417505,0.7509750566893424,0.4797979797979797
jasper: cosine-to-brief (0 labels),carbon_capture,200,0.17006802721088435,0.3129251700680272,0.12508417508417505,0.7509750566893424,0.4797979797979797
jasper: cosine-to-brief (0 labels),cement_binders,25,0.12352941176470589,0.25882352941176473,0.2057251908396946,0.8282608695652174,0.333587786259542
jasper: cosine-to-brief (0 labels),cement_binders,50,0.12352941176470589,0.25882352941176473,0.2057251908396946,0.8282608695652174,0.333587786259542
jasper: cosine-to-brief (0 labels),cement_binders,100,0.12352941176470589,0.25882352941176473,0.2057251908396946,0.8282608695652174,0.333587786259542
jasper: cosine-to-brief (0 labels),cement_binders,200,0.12352941176470589,0.25882352941176473,0.2057251908396946,0.8282608695652174,0.333587786259542
jasper: cosine-to-brief (0 labels),ner,25,0.13901345291479822,0.2600896860986547,0.08461538461538456,0.7735174081725199,0.2709935897435897
jasper: cosine-to-brief (0 labels),ner,50,0.13901345291479822,0.2600896860986547,0.08461538461538456,0.7735174081725199,0.2709935897435897
jasper: cosine-to-brief (0 labels),ner,100,0.13901345291479822,0.2600896860986547,0.08461538461538456,0.7735174081725199,0.2709935897435897
jasper: cosine-to-brief (0 labels),ner,200,0.13901345291479822,0.2600896860986547,0.08461538461538456,0.7735174081725199,0.2709935897435897
jasper: cosine-to-brief (0 labels),soil_microbiome,25,0.1702127659574468,0.3191489361702128,-0.007983193277310965,0.6027829463635628,0.6998599439775911
jasper: cosine-to-brief (0 labels),soil_microbiome,50,0.1702127659574468,0.3191489361702128,-0.007983193277310965,0.6027829463635628,0.6998599439775911
jasper: cosine-to-brief (0 labels),soil_microbiome,100,0.1702127659574468,0.3191489361702128,-0.007983193277310965,0.6027829463635628,0.6998599439775911
jasper: cosine-to-brief (0 labels),soil_microbiome,200,0.1702127659574468,0.3191489361702128,-0.007983193277310965,0.6027829463635628,0.6998599439775911
jasper: cosine-to-brief (0 labels),solar_leo,25,0.11956521739130435,0.21739130434782608,0.005555555555555508,0.5277777777777778,0.2216666666666666
jasper: cosine-to-brief (0 labels),solar_leo,50,0.11956521739130435,0.21739130434782608,0.005555555555555508,0.5277777777777778,0.2216666666666666
